U_GPRO,U_CCL,U_TSLA,U_DAL,U_DIS,U_AAL,U_MSFT,U_AAPL,U_GE,U_F
253767.16666666666,3328.0,120106.16666666667,15157.0,201899.0,10728.833333333334,245395.66666666666,215630.08333333334,298013.5833333333,321185.1666666667
254094.29166666666,3327.7083333333335,120386.58333333333,15159.541666666666,202025.875,10722.958333333334,245761.25,216256.95833333334,298665.9166666667,321614.4583333333
255107.04166666666,3339.75,121590.91666666667,15194.041666666666,202436.45833333334,10815.708333333334,247000.08333333334,218085.04166666666,301982.0416666667,322774.1666666667
255454.58333333334,3384.695652173913,122393.66666666667,15268.391304347826,202701.1739130435,11075.695652173914,247850.91304347827,218891.33333333334,302919.7826086957,323802.4347826087
255459.69565217392,3384.0,122392.0,15267.0,202697.0,11075.0,247845.0,218886.0,302916.0,323800.0
255466.0,3384.0,122391.0,15267.333333333334,202693.33333333334,11075.666666666666,247843.66666666666,218882.33333333334,302912.3333333333,323800.3333333333
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
451764.0833333333,410241.7083333333,213501.16666666666,433619.5833333333,510888.8333333333,459126.6666666667,425198.7083333333,352774.375,694171.6666666666,792474.125
451762.0,410234.0,213496.0,433611.0,510880.0,459129.0,425188.0,352765.0,694168.0,792478.0
451829.9166666667,412563.625,214114.91666666666,436686.1666666667,511917.0833333333,465048.625,425398.625,352865.4166666667,696354.2916666666,795323.8333333334
451881.875,420050.9583333333,213688.375,445531.4583333333,515215.625,481075.25,425395.7916666667,352706.3333333333,701803.2916666666,802808.625
453354.0,424756.21428571426,212011.2142857143,452588.14285714284,524372.1428571428,489517.28571428574,425360.0714285714,352100.5714285714,707002.3571428572,809601.5
456193.2173913043,426089.39130434784,210437.1739130435,457352.95652173914,528868.695652174,494245.60869565216,425842.73913043475,352379.60869565216,711916.0434782609,815130.0
459632.75,427180.0416666667,208243.91666666666,461174.625,529616.5,498683.875,426714.5833333333,353024.9583333333,715450.5833333334,819372.3333333334
461271.4583333333,428176.375,205018.83333333334,463247.4166666667,532102.2916666666,500514.9583333333,427410.5833333333,354212.875,717809.5416666666,819416.7083333334
461270.0,428162.0,205013.0,463242.0,532090.0,500506.0,427396.0,354206.0,717806.0,819384.0
462384.7083333333,430675.375,205421.875,465866.875,534008.0416666666,503644.5,427987.2083333333,355482.4583333333,720410.5,822340.25
464340.6,436123.9,206371.8,471986.65,538590.45,509182.95,429636.55,358718.1,725331.7,826908.75
467314.63636363635,439149.86363636365,208540.86363636365,477764.86363636365,541804.9090909091,512155.4090909091,431051.6818181818,359709.63636363635,730886.9545454546,830293.3636363636
